Time[s], LIVE
0.0000000, 0
16.8526759, 1
16.8531962, 0
16.8541890, 1
16.8546996, 0
16.8557019, 1
16.8562125, 0
16.8572149, 1
16.8577255, 0
16.8587183, 1
16.8592385, 0
16.8602313, 1
16.8607419, 0
16.8617443, 1
16.8622550, 0
16.8632574, 1
16.8637680, 0
16.8647608, 1
16.8662895, 0
16.8672823, 1
16.8677929, 0
16.8687952, 1
16.8703143, 0
16.8713071, 1
16.8728357, 0
16.8738285, 1
16.8753475, 0
16.8763498, 1
16.8778689, 0
16.8788617, 1
16.8793818, 0
16.8803746, 1
16.8818937, 0
16.8828959, 1
16.8844150, 0
16.8854077, 1
16.8869268, 0
16.8879290, 1
16.8894482, 0
16.8904505, 1
16.8909611, 0
16.8919539, 1
16.8934826, 0
16.8944754, 1
16.8959947, 0
16.8969971, 1
16.8985164, 0
16.8995092, 1
16.9010284, 0
16.9020307, 1
16.9035499, 0
16.9045427, 1
16.9060618, 0
16.9070641, 1
16.9085833, 0
16.9095856, 1
16.9100962, 0
16.9110890, 1
16.9116091, 0
16.9126019, 1
16.9141211, 0
16.9151235, 1
16.9166427, 0
16.9176355, 1
16.9191548, 0
16.9201572, 1
16.9206679, 0
16.9216703, 1
16.9221809, 0
16.9231738, 1
16.9236939, 0
16.9246867, 1
16.9251974, 0
16.9261998, 1
16.9267104, 0
16.9277128, 1
16.9282234, 0
16.9292162, 1
16.9297363, 0
16.9307292, 1
16.9312398, 0
16.9322421, 1
16.9327527, 0
16.9337550, 1
16.9352743, 0
16.9362671, 1
16.9367873, 0
16.9377801, 1
16.9382907, 0
16.9392931, 1
16.9408123, 0
16.9418147, 1
16.9423253, 0
16.9433181, 1
16.9438383, 0
16.9448311, 1
16.9463504, 0
16.9478539, 1
16.9483645, 0
16.9493669, 1
16.9498775, 0
16.9508704, 1
16.9513906, 0
16.9523835, 1
16.9528942, 0
16.9538966, 1
16.9544072, 0
16.9554097, 1
16.9559203, 0
16.9569131, 1
16.9574333, 0
16.9584262, 1
16.9589368, 0
16.9599391, 1
16.9614584, 0
16.9624512, 1
16.9629714, 0
16.9639642, 1
16.9654834, 0
16.9664858, 1
16.9680051, 0
16.9689980, 1
16.9705171, 0
16.9715194, 1
16.9730386, 0
16.9740409, 1
16.9745515, 0
16.9755442, 1
16.9770728, 0
16.9780656, 1
16.9795846, 0
16.9805868, 1
16.9821060, 0
16.9830988, 1
16.9846178, 0
16.9856201, 1
16.9861307, 0
16.9871329, 1
16.9886520, 0
16.9896448, 1
16.9911639, 0
16.9921660, 1
16.9936850, 0
16.9946872, 1
16.9962061, 0
16.9971988, 1
16.9987179, 0
16.9997201, 1
17.0012391, 0
17.0022413, 1
17.0037604, 0
17.0047531, 1
17.0052637, 0
17.0062659, 1
17.0067765, 0
17.0077787, 1
17.0092977, 0
17.0102904, 1
17.0118094, 0
17.0128117, 1
17.0143306, 0
17.0153328, 1
17.0158434, 0
17.0168361, 1
17.0173562, 0
17.0183488, 1
17.0188594, 0
17.0198616, 1
17.0203722, 0
17.0213744, 1
17.0218850, 0
17.0228872, 1
17.0233977, 0
17.0243904, 1
17.0249105, 0
17.0259031, 1
17.0264137, 0
17.0274159, 1
17.0279265, 0
17.0289287, 1
17.0304477, 0
17.0314404, 1
17.0319604, 0
17.0329530, 1
17.0334636, 0
17.0344657, 1
17.0359847, 0
17.0369869, 1
17.0374974, 0
17.0384900, 1
17.0390101, 0
17.0400028, 1
17.0415217, 0
17.0430249, 1
17.0435354, 0
17.0445375, 1
17.0450480, 0
17.0460501, 1
17.0465606, 0
17.0475532, 1
17.0480733, 0
17.0490659, 1
17.0495859, 0
17.0505785, 1
17.0510890, 0
17.0520912, 1
17.0526017, 0
17.0536038, 1
17.0541144, 0
17.0551070, 1
17.0566355, 0
17.0576281, 1
17.0581387, 0
17.0591408, 1
17.0606597, 0
17.0616619, 1
17.0631809, 0
17.0641737, 1
17.0656926, 0
17.0666948, 1
17.0682137, 0
17.0692065, 1
17.0697265, 0
17.0707192, 1
17.0722383, 0
17.0732405, 1
17.0747595, 0
17.0757617, 1
17.0772807, 0
17.0782734, 1
17.0797924, 0
17.0807946, 1
17.0813051, 0
17.0823074, 1
17.0838264, 0
17.0848192, 1
17.0863383, 0
17.0873405, 1
17.0888595, 0
17.0898616, 1
17.0913806, 0
17.0923733, 1
17.0938923, 0
17.0948945, 1
17.0964135, 0
17.0974062, 1
17.0989346, 0
17.0999273, 1
17.1004378, 0
17.1014400, 1
17.1019505, 0
17.1029527, 1
17.1044716, 0
17.1054644, 1
17.1069833, 0
17.1079855, 1
17.1095044, 0
17.1105066, 1
17.1110171, 0
17.1120098, 1
17.1125299, 0
17.1135226, 1
17.1140332, 0
17.1150354, 1
17.1155460, 0
17.1165482, 1
17.1170588, 0
17.1180610, 1
17.1185716, 0
17.1195642, 1
17.1200842, 0
17.1210769, 1
17.1215874, 0
17.1225895, 1
17.1231000, 0
17.1241021, 1
17.1256210, 0
17.1266136, 1
17.1271337, 0
17.1281263, 1
17.1286368, 0
17.1296390, 1
17.1311578, 0
17.1321599, 1
17.1326704, 0
17.1336631, 1
17.1341831, 0
17.1351757, 1
17.1366946, 0
