Time[s], LIVE
0.0000000, 0
45.0134369, 1
45.0139447, 0
45.0149410, 1
45.0154584, 0
45.0164547, 1
45.0169721, 0
45.0179684, 1
45.0184762, 0
45.0194726, 1
45.0199900, 0
45.0209864, 1
45.0215038, 0
45.0225002, 1
45.0230080, 0
45.0240140, 1
45.0245218, 0
45.0255181, 1
45.0270383, 0
45.0280347, 1
45.0285521, 0
45.0295485, 1
45.0310688, 0
45.0320651, 1
45.0335854, 0
45.0345818, 1
45.0361021, 0
45.0370985, 1
45.0386187, 0
45.0396150, 1
45.0401325, 0
45.0411288, 1
45.0426489, 0
45.0436452, 1
45.0451653, 0
45.0461616, 1
45.0476816, 0
45.0486876, 1
45.0502077, 0
45.0512040, 1
45.0517117, 0
45.0527081, 1
45.0542282, 0
45.0552341, 1
45.0567446, 0
45.0577506, 1
45.0592707, 0
45.0602671, 1
45.0617871, 0
45.0627835, 1
45.0633009, 0
45.0642973, 1
45.0658174, 0
45.0668138, 1
45.0683340, 0
45.0693303, 1
45.0698380, 0
45.0708440, 1
45.0723641, 0
45.0733605, 1
45.0738682, 0
45.0748646, 1
45.0753819, 0
45.0763783, 1
45.0768957, 0
45.0778921, 1
45.0783999, 0
45.0793962, 1
45.0799136, 0
45.0809100, 1
45.0814273, 0
45.0824237, 1
45.0829314, 0
45.0839278, 1
45.0844452, 0
45.0854415, 1
45.0859589, 0
45.0869552, 1
45.0874630, 0
45.0884689, 1
45.0889766, 0
45.0899730, 1
45.0914931, 0
45.0924894, 1
45.0940096, 0
45.0950059, 1
45.0965356, 0
45.0975319, 1
45.0990520, 0
45.1000484, 1
45.1005561, 0
45.1015524, 1
45.1020697, 0
45.1030660, 1
45.1045860, 0
45.1055822, 1
45.1071024, 0
45.1086066, 1
45.1091143, 0
45.1101204, 1
45.1106281, 0
45.1116245, 1
45.1121419, 0
45.1131383, 1
45.1136557, 0
45.1146521, 1
45.1151599, 0
45.1161563, 1
45.1166737, 0
45.1176701, 1
45.1181875, 0
45.1191839, 1
45.1196917, 0
45.1206880, 1
45.1222081, 0
45.1232045, 1
45.1237220, 0
45.1247184, 1
45.1262385, 0
45.1272348, 1
45.1287547, 0
45.1297606, 1
45.1312709, 0
45.1322768, 1
45.1337968, 0
45.1347930, 1
45.1353007, 0
45.1362970, 1
45.1378266, 0
45.1388229, 1
45.1403429, 0
45.1413392, 1
45.1428593, 0
45.1438556, 1
45.1453757, 0
45.1463720, 1
45.1468894, 0
45.1478857, 1
45.1494058, 0
45.1504022, 1
45.1519222, 0
45.1529185, 1
45.1544384, 0
45.1554347, 1
45.1569546, 0
45.1579508, 1
45.1584682, 0
45.1594644, 1
45.1609843, 0
45.1619805, 1
45.1635006, 0
45.1644970, 1
45.1650144, 0
45.1660108, 1
45.1675310, 0
45.1685275, 1
45.1690449, 0
45.1700412, 1
45.1705489, 0
45.1715549, 1
45.1720627, 0
45.1730590, 1
45.1735763, 0
45.1745725, 1
45.1750899, 0
45.1760861, 1
45.1765938, 0
45.1775901, 1
45.1781074, 0
45.1791036, 1
45.1796209, 0
45.1806172, 1
45.1811249, 0
45.1821211, 1
45.1826385, 0
45.1836348, 1
45.1841521, 0
45.1851484, 1
45.1866684, 0
45.1876647, 1
45.1891848, 0
45.1901811, 1
45.1917011, 0
45.1926974, 1
45.1942174, 0
45.1952137, 1
45.1957310, 0
45.1967273, 1
45.1972446, 0
45.1982409, 1
45.1997608, 0
45.2007571, 1
45.2022770, 0
45.2037810, 1
45.2042888, 0
45.2052851, 1
45.2058024, 0
45.2067987, 1
45.2073162, 0
45.2083125, 1
45.2088203, 0
45.2098166, 1
45.2103340, 0
45.2113303, 1
45.2118477, 0
45.2128440, 1
45.2133517, 0
45.2143576, 1
45.2148653, 0
45.2158616, 1
45.2173815, 0
45.2183777, 1
45.2188950, 0
45.2198913, 1
45.2214113, 0
45.2224075, 1
45.2239275, 0
45.2249237, 1
45.2264437, 0
45.2274496, 1
45.2289600, 0
45.2299660, 1
45.2304737, 0
45.2314700, 1
45.2329900, 0
45.2339862, 1
45.2355158, 0
45.2365121, 1
45.2380321, 0
45.2390284, 1
45.2405483, 0
45.2415445, 1
45.2420619, 0
45.2430581, 1
45.2445781, 0
45.2455743, 1
45.2470942, 0
45.2480905, 1
45.2496105, 0
45.2506067, 1
45.2521266, 0
45.2531228, 1
45.2536401, 0
45.2546364, 1
45.2561563, 0
45.2571526, 1
45.2586725, 0
45.2596689, 1
45.2601863, 0
45.2611825, 1
45.2627025, 0
45.2636988, 1
45.2642162, 0
45.2652125, 1
45.2657298, 0
45.2667260, 1
45.2672337, 0
45.2682300, 1
45.2687474, 0
45.2697437, 1
45.2702514, 0
45.2712573, 1
45.2717650, 0
45.2727613, 1
45.2732786, 0
45.2742749, 1
45.2747922, 0
45.2757885, 1
45.2762962, 0
45.2772925, 1
45.2778099, 0
45.2788061, 1
45.2793235, 0
45.2803198, 1
45.2818398, 0
45.2828360, 1
45.2843559, 0
45.2853521, 1
45.2868721, 0
45.2878683, 1
45.2893882, 0
45.2903845, 1
45.2909018, 0
45.2918981, 1
45.2924154, 0
45.2934117, 1
45.2949317, 0
45.2959279, 1
45.2974479, 0
